,Binaria,Ordinal,rpb
184,D17,Dor_costas_VAS,0.254572103
185,D17,Dor_pernas_VAS,-0.020067848
186,D17,IDADE,0.113981941
187,D17,BPI_3_v1,0.278063029
188,D17,BPI_4_v1,0.178905436
189,D17,BPI_5_v1,0.04660184
190,D17,BPI_6_v1,-0.012994424
191,D17,BPI_8_v1,-0.05314374
192,D17,BPI_9a_v1,0.473033197
193,D17,BPI_9b_v1,0.50579645
194,D17,BPI_9c_v1,0.396995479
195,D17,BPI_9d_v1,0.32668908
196,D17,BPI_9e_v1,0.420459091
197,D17,BPI_9f_v1,0.301272631
198,D17,BPI_9g_v1,0.245943957
199,D18,Se_SP_haquantosanos,-0.537018436
200,D18,QtCirColuna,-0.188837826
201,D18,Trabalho_Cansativo,0.033290648
202,D18,Licenca_Tempo,-0.332185347
203,D18,Tempo_dor_costas,0.01763589
204,D18,Tempo_dor_pernas,-0.340026448
205,D18,Andar_velocidade,0.026442499
206,D18,Dor_costas_VAS,0.24479155
207,D18,Dor_pernas_VAS,-0.147569828
208,D18,IDADE,-0.035864359
209,D18,BPI_3_v1,0.257316069
210,D18,BPI_4_v1,0.096041304
211,D18,BPI_5_v1,0.103362026
212,D18,BPI_6_v1,0.154572692
213,D18,BPI_8_v1,-0.112965195
214,D18,BPI_9a_v1,0.361895927
215,D18,BPI_9b_v1,0.392697565
216,D18,BPI_9c_v1,0.238030786
217,D18,BPI_9d_v1,0.421127564
218,D18,BPI_9e_v1,0.300770884
219,D18,BPI_9f_v1,0.294392967
220,D18,BPI_9g_v1,0.229059857
221,D19,Se_SP_haquantosanos,NA
222,D19,QtCirColuna,0.123572398
223,D19,Trabalho_Cansativo,0.018616774
224,D19,Licenca_Tempo,-0.332185347
225,D19,Tempo_dor_costas,0.064620863
226,D19,Tempo_dor_pernas,-0.059429901
227,D19,Andar_velocidade,0.01766947
228,D19,Dor_costas_VAS,0.284236634
229,D19,Dor_pernas_VAS,-0.032893519
230,D19,IDADE,-0.009163327
231,D19,BPI_3_v1,0.142957295
232,D19,BPI_4_v1,0.253229232
233,D19,BPI_5_v1,0.141847542
234,D19,BPI_6_v1,0.185908061
235,D19,BPI_8_v1,-0.149930171
236,D19,BPI_9a_v1,0.281651044
237,D19,BPI_9b_v1,0.142507446
238,D19,BPI_9c_v1,0.25217554
239,D19,BPI_9d_v1,0.323752743
240,D19,BPI_9e_v1,0.250626001
241,D19,BPI_9f_v1,0.403546245
242,D19,BPI_9g_v1,0.145601141
243,D2,Se_SP_haquantosanos,-0.474959492
244,D2,QtCirColuna,-0.241910258
245,D2,Trabalho_Cansativo,0.04841207
246,D2,Licenca_Tempo,NA
247,D2,Tempo_dor_costas,0.07864825
248,D2,Tempo_dor_pernas,0.028439814
249,D2,Andar_velocidade,0.105345127
250,D2,Dor_costas_VAS,0.268962142
251,D2,Dor_pernas_VAS,0.091300074
252,D2,IDADE,0.11488172
253,D2,BPI_3_v1,0.342645286
254,D2,BPI_4_v1,0.220524631
255,D2,BPI_5_v1,0.24460517
256,D2,BPI_6_v1,0.057663072
257,D2,BPI_8_v1,0.112946784
258,D2,BPI_9a_v1,0.556533302
