"","demonimador","numerador","Frequência","Qtd_0_Denom","Qtd_1_Denom","D0N0","D0N1","D1N0","D1N1"
"268","RMDQ19_v1","Aposentado","0.192307692307692","157","26","129","28","21","5"
"269","RMDQ20_v1","Aposentado","0.225806451612903","152","31","126","26","24","7"
"270","RMDQ21_v1","Aposentado","0.25","143","40","120","23","30","10"
"271","RMDQ22_v1","Aposentado","0.25","151","32","126","25","24","8"
"272","RMDQ23_v1","Aposentado","0.193548387096774","152","31","125","27","25","6"
"273","RMDQ24_v1","Aposentado","0.206896551724138","154","29","127","27","23","6"
"274","Fuma","Desempregado","0.244444444444444","140","45","123","17","34","11"
"275","Cirurgia_coluna","Desempregado","0.208333333333333","108","72","99","9","57","15"
"276","Aposentado","Desempregado","0.305555555555556","161","36","142","19","25","11"
"277","Desempregado","Desempregado","1","167","30","167","0","0","30"
"278","Licenca_Medica","Desempregado","0.421052631578947","177","19","155","22","11","8"
"279","Aposentado_Invalidez","Desempregado","0.375","183","8","157","26","5","3"
"280","Analg.e9.sicos","Desempregado","0.144","64","125","54","10","107","18"
"281","OutraDoenca","Desempregado","0.2","121","70","105","16","56","14"
"282","Dor_costas","Desempregado","0.234782608695652","75","115","72","3","88","27"
"283","Dor_pernas","Desempregado","0.166666666666667","128","60","108","20","50","10"
"284","Retornar_trabalho","Desempregado","0.368421052631579","154","19","135","19","12","7"
"285","Masc","Desempregado","0.140625","69","128","57","12","110","18"
"286","Fem","Desempregado","0.173913043478261","128","69","110","18","57","12"
"287","Casado_Amasiado","Desempregado","0.109756097560976","104","82","87","17","73","9"
"288","Solteiro","Desempregado","0.177215189873418","107","79","95","12","65","14"
"289","Separado_Divorciado","Desempregado","0.142857142857143","179","7","154","25","6","1"
"290","X4","Desempregado","0","183","3","157","26","3","0"
"291","X5","Desempregado","0.25","182","4","157","25","3","1"
"292","X6","Desempregado","0.0909090909090909","175","11","150","25","10","1"
"293","Livrar_costas","Desempregado","0.211538461538462","14","104","10","4","82","22"
"294","Livrar_perna","Desempregado","0.307692307692308","105","13","83","22","9","4"
"295","Livrar_perda_sens","Desempregado","0","117","1","91","26","1","0"
"296","D1","Desempregado","0","129","1","104","25","1","0"
"297","D15","Desempregado","0.333333333333333","124","6","101","23","4","2"
"298","D16","Desempregado","0.1","110","20","87","23","18","2"
"299","D17","Desempregado","0.2","125","5","101","24","4","1"
"300","D18","Desempregado","0.25","114","16","93","21","12","4"
"301","D19","Desempregado","0.285714285714286","123","7","100","23","5","2"
"302","D2","Desempregado","0.375","122","8","100","22","5","3"
"303","D20","Desempregado","0.25","122","8","99","23","6","2"
"304","D21","Desempregado","0.142857142857143","123","7","99","24","6","1"
"305","D22","Desempregado","0.5","128","2","104","24","1","1"
"306","D23","Desempregado","0.5","128","2","104","24","1","1"
"307","D24","Desempregado","0.269230769230769","104","26","86","18","19","7"
"308","D25","Desempregado","0.5","126","4","103","23","2","2"
"309","D26","Desempregado","0.5","128","2","104","24","1","1"
"310","D27","Desempregado","0.2","125","5","101","24","4","1"
"311","D28","Desempregado","0.333333333333333","124","6","101","23","4","2"
"312","D29","Desempregado","0.166666666666667","88","42","70","18","35","7"
"313","D3","Desempregado","0.5","128","2","104","24","1","1"
"314","D30","Desempregado","0.209677419354839","68","62","56","12","49","13"
"315","D31","Desempregado","0.25","114","16","93","21","12","4"
"316","D32","Desempregado","0.0810810810810811","93","37","71","22","34","3"
"317","D33","Desempregado","0.0909090909090909","119","11","95","24","10","1"
"318","D34","Desempregado","0.666666666666667","127","3","104","23","1","2"
"319","D35","Desempregado","1","128","2","105","23","0","2"
"320","D36","Desempregado","0.285714285714286","123","7","100","23","5","2"
"321","D37","Desempregado","0.136363636363636","108","22","86","22","19","3"
"322","D38","Desempregado","0","128","2","103","25","2","0"
"323","D39","Desempregado","0.0666666666666667","115","15","91","24","14","1"
"324","D4","Desempregado","0.75","126","4","104","22","1","3"
"325","D40","Desempregado","0.25","126","4","102","24","3","1"
