"","demonimador","numerador","Frequência","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"132","RMDQ11_v1","D30","0.652173913043478","23","94","48","46","8","15"
"133","RMDQ12_v1","D30","0.636363636363636","22","95","48","47","8","14"
"134","RMDQ13_v1","D30","0.636363636363636","22","95","48","47","8","14"
"135","RMDQ14_v1","D30","0.68","25","92","48","44","8","17"
"136","RMDQ15_v1","D30","0.666666666666667","15","102","51","51","5","10"
"137","RMDQ16_v1","D30","0.684210526315789","19","98","50","48","6","13"
"138","RMDQ17_v1","D30","0.590909090909091","22","95","47","48","9","13"
"139","RMDQ18_v1","D30","0.7","20","97","50","47","6","14"
"140","RMDQ19_v1","D30","0.75","16","101","52","49","4","12"
"141","RMDQ20_v1","D30","0.666666666666667","21","96","49","47","7","14"
"142","RMDQ21_v1","D30","0.666666666666667","24","93","48","45","8","16"
"143","RMDQ22_v1","D30","0.7","20","97","50","47","6","14"
"144","RMDQ23_v1","D30","0.736842105263158","19","98","51","47","5","14"
"145","RMDQ24_v1","D30","0.684210526315789","19","98","50","48","6","13"
"146","Dor_costas","RMDQ1_v1","0.414634146341463","122","67","44","23","71","51"
"147","Dor_pernas","RMDQ1_v1","0.415384615384615","65","122","75","47","38","27"
"148","Livrar_costas","RMDQ1_v1","0.420560747663551","106","16","10","6","61","45"
"149","Livrar_perna","RMDQ1_v1","0.357142857142857","14","108","62","46","9","5"
"150","D30","RMDQ1_v1","0.442622950819672","61","55","39","16","34","27"
"151","RMDQ1_v1","RMDQ1_v1","1","85","134","134","0","0","85"
"152","RMDQ2_v1","RMDQ1_v1","0.922222222222222","90","129","127","2","7","83"
"153","RMDQ3_v1","RMDQ1_v1","0.607594936708861","78","141","104","37","30","48"
"154","RMDQ4_v1","RMDQ1_v1","0.5","53","166","108","58","26","27"
"155","RMDQ5_v1","RMDQ1_v1","0.625","72","147","107","40","27","45"
"156","RMDQ6_v1","RMDQ1_v1","0.535714285714286","56","163","108","55","26","30"
"157","RMDQ7_v1","RMDQ1_v1","0.846153846153846","39","180","128","52","6","33"
"158","RMDQ8_v1","RMDQ1_v1","0.5","8","211","130","81","4","4"
"159","RMDQ9_v1","RMDQ1_v1","0.911764705882353","34","185","131","54","3","31"
"160","RMDQ10_v1","RMDQ1_v1","0.75","40","179","124","55","10","30"
"161","RMDQ11_v1","RMDQ1_v1","0.714285714285714","42","177","122","55","12","30"
"162","RMDQ12_v1","RMDQ1_v1","0.75","44","175","123","52","11","33"
"163","RMDQ13_v1","RMDQ1_v1","0.717391304347826","46","173","121","52","13","33"
"164","RMDQ14_v1","RMDQ1_v1","0.836734693877551","49","170","126","44","8","41"
"165","RMDQ15_v1","RMDQ1_v1","0.935483870967742","31","188","132","56","2","29"
"166","RMDQ16_v1","RMDQ1_v1","0.810810810810811","37","182","127","55","7","30"
"167","RMDQ17_v1","RMDQ1_v1","0.714285714285714","49","170","120","50","14","35"
"168","RMDQ18_v1","RMDQ1_v1","0.777777777777778","36","183","126","57","8","28"
"169","RMDQ19_v1","RMDQ1_v1","0.875","32","187","130","57","4","28"
"170","RMDQ20_v1","RMDQ1_v1","0.815789473684211","38","181","127","54","7","31"
"171","RMDQ21_v1","RMDQ1_v1","0.854166666666667","48","171","127","44","7","41"
"172","RMDQ22_v1","RMDQ1_v1","0.763157894736842","38","181","125","56","9","29"
"173","RMDQ23_v1","RMDQ1_v1","0.783783783783784","37","182","126","56","8","29"
"174","RMDQ24_v1","RMDQ1_v1","0.857142857142857","35","184","129","55","5","30"
"175","Dor_costas","RMDQ2_v1","0.463414634146341","122","67","45","22","65","57"
"176","Dor_pernas","RMDQ2_v1","0.446153846153846","65","122","72","50","36","29"
"177","Livrar_costas","RMDQ2_v1","0.467289719626168","106","16","10","6","56","50"
"178","Livrar_perna","RMDQ2_v1","0.357142857142857","14","108","57","51","9","5"
"179","D30","RMDQ2_v1","0.459016393442623","61","55","36","19","33","28"
"180","RMDQ1_v1","RMDQ2_v1","0.976470588235294","85","134","127","7","2","83"
"181","RMDQ2_v1","RMDQ2_v1","1","90","129","129","0","0","90"
"182","RMDQ3_v1","RMDQ2_v1","0.670886075949367","78","141","104","37","25","53"
"183","RMDQ4_v1","RMDQ2_v1","0.574074074074074","53","166","107","59","22","31"
"184","RMDQ5_v1","RMDQ2_v1","0.680555555555556","72","147","106","41","23","49"
"185","RMDQ6_v1","RMDQ2_v1","0.553571428571429","56","163","104","59","25","31"
"186","RMDQ7_v1","RMDQ2_v1","0.897435897435897","39","180","125","55","4","35"
"187","RMDQ8_v1","RMDQ2_v1","0.625","8","211","126","85","3","5"
"188","RMDQ9_v1","RMDQ2_v1","0.882352941176471","34","185","125","60","4","30"
"189","RMDQ10_v1","RMDQ2_v1","0.825","40","179","122","57","7","33"
"190","RMDQ11_v1","RMDQ2_v1","0.785714285714286","42","177","120","57","9","33"
"191","RMDQ12_v1","RMDQ2_v1","0.772727272727273","44","175","119","56","10","34"
"192","RMDQ13_v1","RMDQ2_v1","0.695652173913043","46","173","115","58","14","32"
"193","RMDQ14_v1","RMDQ2_v1","0.918367346938776","49","170","125","45","4","45"
"194","RMDQ15_v1","RMDQ2_v1","0.935483870967742","31","188","127","61","2","29"
"195","RMDQ16_v1","RMDQ2_v1","0.810810810810811","37","182","122","60","7","30"
"196","RMDQ17_v1","RMDQ2_v1","0.755102040816326","49","170","117","53","12","37"
"197","RMDQ18_v1","RMDQ2_v1","0.888888888888889","36","183","125","58","4","32"
"198","RMDQ19_v1","RMDQ2_v1","0.84375","32","187","124","63","5","27"
"199","RMDQ20_v1","RMDQ2_v1","0.842105263157895","38","181","123","58","6","32"
"200","RMDQ21_v1","RMDQ2_v1","0.916666666666667","48","171","125","46","4","44"
"201","RMDQ22_v1","RMDQ2_v1","0.789473684210526","38","181","121","60","8","30"
"202","RMDQ23_v1","RMDQ2_v1","0.810810810810811","37","182","122","60","7","30"
"203","RMDQ24_v1","RMDQ2_v1","0.885714285714286","35","184","125","59","4","31"
"204","Dor_costas","RMDQ3_v1","0.395161290322581","124","67","45","22","75","49"
"205","Dor_pernas","RMDQ3_v1","0.353846153846154","65","124","77","47","42","23"
"206","Livrar_costas","RMDQ3_v1","0.407407407407407","108","16","13","3","64","44"
