"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ6_v1","Oswestry1_v1",0.891104093874286,1.75978576792929e-28,164,56,12
"RMDQ6_v1","Oswestry2_v1",0.92602403949452,1.89318629234147e-31,164,56,12
"RMDQ6_v1","Oswestry3_v1",0.808545347596081,1.68431336167067e-22,164,56,12
"RMDQ6_v1","Oswestry4_v1",0.911847193789207,3.29772987887722e-30,164,56,12
"RMDQ6_v1","Oswestry5_v1",0.790337448806904,2.40023155507843e-21,164,56,12
"RMDQ6_v1","Oswestry6_v1",0.632606760469011,2.97550913375613e-13,164,56,12
"RMDQ6_v1","Oswestry7_v1",0.818927894439838,3.49944875306468e-23,164,56,12
"RMDQ6_v1","Oswestry8_v1",0.66908610493043,7.35725973323647e-15,164,56,12
"RMDQ6_v1","Oswestry9_v1",0.85326160451992,1.41616126291711e-25,164,56,12
"RMDQ6_v1","Oswestry10_v1",0.70914650016623,8.55184518132985e-17,164,56,12
"RMDQ6_v1","Somatoria_Owestry",0.859828225760438,4.65712232499778e-26,164,56,12
"RMDQ6_v1","Ord_RMDQ",0.919638581764577,1.60226877874484e-23,79,56,0
"RMDQ6_v1","SF12_M1_1_v1",0.700481155671788,2.32557576547706e-16,164,56,12
"RMDQ6_v1","SF12_M1_2_v1",-0.712882669479945,5.5195090477104e-17,164,56,12
"RMDQ6_v1","SF12_M1_3_v1",-0.773855794314668,2.39783308944863e-20,164,56,12
"RMDQ6_v1","SF12_M1_4_v1",-0.667825604425266,8.40649270925819e-15,164,56,12
"RMDQ6_v1","SF12_M1_5_v1",-0.760776468468771,1.39383824051299e-19,164,56,12
"RMDQ6_v1","SF12_M1_6_v1",-0.819191187394647,3.36089634932479e-23,164,56,12
"RMDQ6_v1","SF12_M1_7_v1",-0.860397125646607,4.2254262880437e-26,164,56,12
"RMDQ6_v1","SF12_M1_8_v1",0.704809702951803,1.41462366671167e-16,164,56,12
"RMDQ6_v1","SF12_M1_9_v1",-0.635162246446037,2.32014299854889e-13,164,56,12
"RMDQ6_v1","SF12_M1_10_v1",-0.519702277894751,4.36530412841095e-09,164,56,12
"RMDQ6_v1","SF12_M1_11_v1",-0.708578200863735,9.13763627495404e-17,164,56,12
"RMDQ6_v1","SF12_M1_12_v1",-0.673682491804734,4.50919272276902e-15,164,56,12
"RMDQ7_v1","Oswestry1_v1",0.9999,7.72687732105599e-37,181,39,12
"RMDQ7_v1","Oswestry2_v1",0.9999,2.3394149814897e-46,181,39,12
"RMDQ7_v1","Oswestry3_v1",0.9999,7.04341530088811e-34,181,39,12
"RMDQ7_v1","Oswestry4_v1",0.9999,6.37423687563963e-49,181,39,12
"RMDQ7_v1","Oswestry5_v1",0.9999,2.43968506795424e-34,181,39,12
"RMDQ7_v1","Oswestry6_v1",0.9999,1.7089190149938e-36,181,39,12
"RMDQ7_v1","Oswestry7_v1",0.9999,3.55459719711355e-36,181,39,12
"RMDQ7_v1","Oswestry8_v1",0.9999,6.99791071617005e-40,181,39,12
"RMDQ7_v1","Oswestry9_v1",0.9999,1.89291670757307e-41,181,39,12
"RMDQ7_v1","Oswestry10_v1",0.9999,2.45687475736484e-32,181,39,12
"RMDQ7_v1","Somatoria_Owestry",0.9999,3.72467147032524e-47,181,39,12
"RMDQ7_v1","Ord_RMDQ",0.9999,5.89815562729397e-41,96,39,0
"RMDQ7_v1","SF12_M1_1_v1",0.688477913126108,2.10192666056246e-13,181,39,12
"RMDQ7_v1","SF12_M1_2_v1",-0.868153163972597,4.31305870872882e-22,181,39,12
"RMDQ7_v1","SF12_M1_3_v1",-0.925447149976413,1.03257430110387e-25,181,39,12
"RMDQ7_v1","SF12_M1_4_v1",-0.766539368617039,9.43476307022186e-17,181,39,12
"RMDQ7_v1","SF12_M1_5_v1",-0.831904703214706,4.83004358096619e-20,181,39,12
"RMDQ7_v1","SF12_M1_6_v1",-0.91128272382386,9.04501241486837e-25,181,39,12
"RMDQ7_v1","SF12_M1_7_v1",-0.97282688894553,4.04230436761713e-29,181,39,12
"RMDQ7_v1","SF12_M1_8_v1",0.854760613341603,2.58302025930138e-21,181,39,12
"RMDQ7_v1","SF12_M1_9_v1",-0.854235608370018,2.76762048534511e-21,181,39,12
"RMDQ7_v1","SF12_M1_10_v1",-0.741124701223,1.34610365909097e-15,181,39,12
"RMDQ7_v1","SF12_M1_11_v1",-0.895111030194792,9.84773173119685e-24,181,39,12
"RMDQ7_v1","SF12_M1_12_v1",-0.902447366363781,3.3726279958436e-24,181,39,12
"RMDQ8_v1","Oswestry1_v1",0.401147577604115,0.0111341998454698,212,8,12
"RMDQ8_v1","Oswestry2_v1",0.738704559740867,1.92089942550848e-06,212,8,12
"RMDQ8_v1","Oswestry4_v1",0.479559137649608,0.00233098335559718,212,8,12
"RMDQ8_v1","Oswestry6_v1",0.324204491201549,0.0407299479907669,212,8,12
"RMDQ8_v1","Oswestry7_v1",0.572137561494767,0.00026328159480897,212,8,12
"RMDQ8_v1","Oswestry8_v1",0.391798420027962,0.0131957170028029,212,8,12
"RMDQ8_v1","Oswestry9_v1",0.333428946899926,0.035284415538008,212,8,12
"RMDQ8_v1","Somatoria_Owestry",0.376741157968664,0.0172229116983667,212,8,12
"RMDQ8_v1","Ord_RMDQ",0.766875404874073,4.50075570337199e-06,127,8,0
