;Binaria;Ordinal;rpb;Bin_0;Bin_1;Missing
156;Desempregado;BPI_9c_v1;0.0508195159039277;107;22;26
157;Desempregado;BPI_9d_v1;-0.0309456376133754;107;22;26
158;Desempregado;BPI_9e_v1;-0.123829243303465;107;22;26
159;Desempregado;BPI_9f_v1;-0.00823441914361553;107;22;26
160;Desempregado;BPI_9g_v1;-0.134863771375634;107;22;26
146;Desempregado;Dor_costas_VAS;0.33508141402358;137;28;16
147;Desempregado;Dor_pernas_VAS;0.0978301618203458;156;30;16
148;Desempregado;IDADE;0.0464266122402861;159;26;17
142;Desempregado;Licenca_Tempo;0.608704604126414;2;4;0
140;Desempregado;QtCirColuna;0.24589518694582;99;18;29
143;Desempregado;Tempo_dor_costas;0.168780340750796;106;28;8
144;Desempregado;Tempo_dor_pernas;-0.0911850095973537;106;27;8
141;Desempregado;Trabalho_Cansativo;-0.383928223216064;108;29;2
375;Dor_costas;Andar_velocidade;-0.39518327789799;39;93;3
379;Dor_costas;BPI_3_v1;0.437429401220202;79;128;29
380;Dor_costas;BPI_4_v1;0.382860131968008;79;128;29
381;Dor_costas;BPI_5_v1;0.415632730487017;79;128;29
382;Dor_costas;BPI_6_v1;0.980412947800817;36;91;4
383;Dor_costas;BPI_8_v1;-0.202747746771368;38;107;15
384;Dor_costas;BPI_9a_v1;0.0238055767827539;41;98;16
385;Dor_costas;BPI_9b_v1;-0.00880696190208397;41;98;16
386;Dor_costas;BPI_9c_v1;-0.0975760263436387;41;98;16
387;Dor_costas;BPI_9d_v1;0.120050519974788;41;98;16
388;Dor_costas;BPI_9e_v1;-0.0836306042953777;41;98;16
389;Dor_costas;BPI_9f_v1;-0.0683936393658935;41;98;16
390;Dor_costas;BPI_9g_v1;-0.0660055971732233;41;98;16
376;Dor_costas;Dor_costas_VAS;0.9999;69;112;0
377;Dor_costas;Dor_pernas_VAS;0.403336428136101;77;124;1
378;Dor_costas;IDADE;0.0848597948645596;76;107;19
372;Dor_costas;Licenca_Tempo;NA;0;6;0
370;Dor_costas;QtCirColuna;0.351023058460838;55;74;17
373;Dor_costas;Tempo_dor_costas;0.6942251806513;37;100;5
374;Dor_costas;Tempo_dor_pernas;0.218653474049053;37;98;6
371;Dor_costas;Trabalho_Cansativo;-0.026869827188509;36;98;5
421;Dor_pernas;Andar_velocidade;-0.47157495818379;76;55;4
425;Dor_pernas;BPI_3_v1;0.375917997010811;139;65;32
426;Dor_pernas;BPI_4_v1;0.414752346540182;139;65;32
427;Dor_pernas;BPI_5_v1;0.418344462422452;139;65;32
428;Dor_pernas;BPI_6_v1;0.46120768173004;72;55;4
429;Dor_pernas;BPI_8_v1;-0.224914455256748;86;58;16
430;Dor_pernas;BPI_9a_v1;0.170477052720771;83;55;17
431;Dor_pernas;BPI_9b_v1;0.188501414841002;83;55;17
432;Dor_pernas;BPI_9c_v1;0.0770296123522386;83;55;17
433;Dor_pernas;BPI_9d_v1;0.207485426606975;83;55;17
434;Dor_pernas;BPI_9e_v1;0.207672114251021;83;55;17
435;Dor_pernas;BPI_9f_v1;0.186693953353469;83;55;17
436;Dor_pernas;BPI_9g_v1;0.0803716975745577;83;55;17
422;Dor_pernas;Dor_costas_VAS;0.486730369929579;117;62;2
423;Dor_pernas;Dor_pernas_VAS;0.9999;138;63;1
424;Dor_pernas;IDADE;0.183735789277549;120;63;19
418;Dor_pernas;Licenca_Tempo;0.0297203112961452;3;3;0
416;Dor_pernas;QtCirColuna;0.519767457414949;93;32;21
419;Dor_pernas;Tempo_dor_costas;0.313033674860769;79;56;7
420;Dor_pernas;Tempo_dor_pernas;0.78301751266349;78;57;6
417;Dor_pernas;Trabalho_Cansativo;-0.0640017099713312;78;55;6
559;Fem;Andar_velocidade;-0.00145488475866068;89;46;0
563;Fem;BPI_3_v1;-0.07075538998031;158;78;0
564;Fem;BPI_4_v1;-0.0340941501468695;158;78;0
565;Fem;BPI_5_v1;-0.0492674923335235;158;78;0
566;Fem;BPI_6_v1;-0.214187192092253;85;46;0
567;Fem;BPI_8_v1;0.0175521017114562;108;52;0
568;Fem;BPI_9a_v1;-0.164941071549992;101;54;0
569;Fem;BPI_9b_v1;-0.243910405611429;101;54;0
570;Fem;BPI_9c_v1;-0.274145981596485;101;54;0
571;Fem;BPI_9d_v1;-0.223525168477491;101;54;0
572;Fem;BPI_9e_v1;-0.338243495829905;101;54;0
573;Fem;BPI_9f_v1;-0.238165164574426;101;54;0
574;Fem;BPI_9g_v1;-0.216830256367444;101;54;0
560;Fem;Dor_costas_VAS;-0.229148470614245;123;58;0
561;Fem;Dor_pernas_VAS;-0.0140716719281578;136;66;0
562;Fem;IDADE;-0.114204710857951;134;68;0
556;Fem;Licenca_Tempo;0.9999;4;2;0
554;Fem;QtCirColuna;-0.210601318646411;96;50;0
557;Fem;Tempo_dor_costas;-0.177665578330538;91;51;0
558;Fem;Tempo_dor_pernas;-0.0873466611173187;92;49;0
555;Fem;Trabalho_Cansativo;0.0903436989426157;91;48;0
7;Fuma;Andar_velocidade;0.0905613858737134;83;46;6
11;Fuma;BPI_3_v1;0.157338036250837;151;46;39
12;Fuma;BPI_4_v1;0.0923312574811744;151;46;39
13;Fuma;BPI_5_v1;0.122635460043813;151;46;39
14;Fuma;BPI_6_v1;-0.125797542955501;78;46;7
15;Fuma;BPI_8_v1;-0.206128206307697;106;33;21
16;Fuma;BPI_9a_v1;0.251038229518139;98;34;23
17;Fuma;BPI_9b_v1;0.176343520516621;98;34;23
18;Fuma;BPI_9c_v1;0.0661078624586985;98;34;23
19;Fuma;BPI_9d_v1;0.11021258438001;98;34;23
20;Fuma;BPI_9e_v1;0.131912616162632;98;34;23
21;Fuma;BPI_9f_v1;0.30033627484156;98;34;23
22;Fuma;BPI_9g_v1;0.185605751883724;98;34;23
8;Fuma;Dor_costas_VAS;0.101878463489346;114;46;21
9;Fuma;Dor_pernas_VAS;0.275285817799327;135;46;21
10;Fuma;IDADE;0.0303389515351804;147;46;9
4;Fuma;Licenca_Tempo;0.304352302063207;4;2;0
2;Fuma;QtCirColuna;0.219080652643125;94;18;34
5;Fuma;Tempo_dor_costas;-0.189567426515991;84;46;12
6;Fuma;Tempo_dor_pernas;-0.189297267626674;84;46;11
3;Fuma;Trabalho_Cansativo;-0.0372533745173514;84;45;10
191;Licenca_Medica;Andar_velocidade;-0.0462643070984944;116;18;1
195;Licenca_Medica;BPI_3_v1;0.200564093154783;178;19;39
196;Licenca_Medica;BPI_4_v1;0.224992234175088;178;19;39
197;Licenca_Medica;BPI_5_v1;0.123286563869181;178;19;39
198;Licenca_Medica;BPI_6_v1;0.0305839235558911;111;18;2
199;Licenca_Medica;BPI_8_v1;0.253453652991395;122;16;22
200;Licenca_Medica;BPI_9a_v1;0.385243316901982;116;15;24
201;Licenca_Medica;BPI_9b_v1;0.336758884900143;116;15;24
202;Licenca_Medica;BPI_9c_v1;0.28388572239622;116;15;24
203;Licenca_Medica;BPI_9d_v1;0.236442519553931;116;15;24
204;Licenca_Medica;BPI_9e_v1;0.255669049906441;116;15;24
205;Licenca_Medica;BPI_9f_v1;0.219430670978645;116;15;24
206;Licenca_Medica;BPI_9g_v1;0.15015852202939;116;15;24
192;Licenca_Medica;Dor_costas_VAS;0.181709995310605;147;19;15
193;Licenca_Medica;Dor_pernas_VAS;0.337853970753681;168;19;15
194;Licenca_Medica;IDADE;-0.0759492126584085;168;18;16
188;Licenca_Medica;Licenca_Tempo;0.648552343618681;1;5;0
186;Licenca_Medica;QtCirColuna;0.228458172409143;106;11;29
189;Licenca_Medica;Tempo_dor_costas;-0.0769163241291371;118;18;6
190;Licenca_Medica;Tempo_dor_pernas;0.123979183699482;117;18;6
187;Licenca_Medica;Trabalho_Cansativo;-0.312595800560899;121;18;0
881;Livrar_costas;Andar_velocidade;0.174751782232013;14;88;33
885;Livrar_costas;BPI_3_v1;-0.160228781500553;16;112;108
886;Livrar_costas;BPI_4_v1;-0.160500766960577;16;112;108
887;Livrar_costas;BPI_5_v1;-0.146575208923126;16;112;108
888;Livrar_costas;BPI_6_v1;0.195479120868513;14;86;31
889;Livrar_costas;BPI_8_v1;0.028083745204933;11;98;51
890;Livrar_costas;BPI_9a_v1;0.0131458852785272;12;86;57
891;Livrar_costas;BPI_9b_v1;-0.0491617182013944;12;86;57
892;Livrar_costas;BPI_9c_v1;-0.00238784402410703;12;86;57
893;Livrar_costas;BPI_9d_v1;0.0800192716904906;12;86;57
894;Livrar_costas;BPI_9e_v1;-0.109904354729539;12;86;57
895;Livrar_costas;BPI_9f_v1;-0.190030034236511;12;86;57
896;Livrar_costas;BPI_9g_v1;-0.0287373839072441;12;86;57
882;Livrar_costas;Dor_costas_VAS;0.247291365428437;16;102;63
883;Livrar_costas;Dor_pernas_VAS;-0.602025887717273;15;110;77
884;Livrar_costas;IDADE;-0.191749737040563;15;95;92
878;Livrar_costas;Licenca_Tempo;NA;0;6;0
876;Livrar_costas;QtCirColuna;-0.220824479494493;7;64;75
879;Livrar_costas;Tempo_dor_costas;-0.0280365122053385;14;92;36
880;Livrar_costas;Tempo_dor_pernas;-0.365861037392877;14;92;35
877;Livrar_costas;Trabalho_Cansativo;-0.153148180478984;13;92;34
973;Livrar_perda_sens;Andar_velocidade;NA;102;0;33
977;Livrar_perda_sens;BPI_3_v1;0.232764511420405;126;2;108
978;Livrar_perda_sens;BPI_4_v1;0.218695628384416;126;2;108
979;Livrar_perda_sens;BPI_5_v1;0.313571459327386;126;2;108
980;Livrar_perda_sens;BPI_6_v1;NA;100;0;31
981;Livrar_perda_sens;BPI_8_v1;-0.0838199520311285;108;1;51
982;Livrar_perda_sens;BPI_9a_v1;-0.0548824418614875;97;1;57
983;Livrar_perda_sens;BPI_9b_v1;0.0767042040409096;97;1;57
984;Livrar_perda_sens;BPI_9c_v1;0.202053021399938;97;1;57
985;Livrar_perda_sens;BPI_9d_v1;-0.0156960591417795;97;1;57
986;Livrar_perda_sens;BPI_9e_v1;0.239193660654465;97;1;57
987;Livrar_perda_sens;BPI_9f_v1;0.415013737517398;97;1;57
988;Livrar_perda_sens;BPI_9g_v1;0.3761716659223;97;1;57
974;Livrar_perda_sens;Dor_costas_VAS;-0.184193635126095;116;2;63
975;Livrar_perda_sens;Dor_pernas_VAS;-0.309606883892125;124;1;77
976;Livrar_perda_sens;IDADE;-0.106549757354731;109;1;92
970;Livrar_perda_sens;Licenca_Tempo;NA;6;0;0
968;Livrar_perda_sens;QtCirColuna;-0.282135414425447;69;2;75
971;Livrar_perda_sens;Tempo_dor_costas;NA;106;0;36
972;Livrar_perda_sens;Tempo_dor_pernas;NA;106;0;35
969;Livrar_perda_sens;Trabalho_Cansativo;NA;105;0;34
927;Livrar_perna;Andar_velocidade;-0.174751782232013;88;14;33
931;Livrar_perna;BPI_3_v1;0.127380337822442;114;14;108
932;Livrar_perna;BPI_4_v1;0.130625921754335;114;14;108
933;Livrar_perna;BPI_5_v1;0.0954473921516357;114;14;108
934;Livrar_perna;BPI_6_v1;-0.195479120868513;86;14;31
935;Livrar_perna;BPI_8_v1;-0.0175434207096022;99;10;51
936;Livrar_perna;BPI_9a_v1;-0.00617789696099014;87;11;57
937;Livrar_perna;BPI_9b_v1;0.0413804144624296;87;11;57
938;Livrar_perna;BPI_9c_v1;-0.0261900057467612;87;11;57
939;Livrar_perna;BPI_9d_v1;-0.082874216939471;87;11;57
940;Livrar_perna;BPI_9e_v1;0.0828802471493178;87;11;57
941;Livrar_perna;BPI_9f_v1;0.143099821144481;87;11;57
942;Livrar_perna;BPI_9g_v1;-0.0229231433598825;87;11;57
928;Livrar_perna;Dor_costas_VAS;-0.232346490356816;104;14;63
929;Livrar_perna;Dor_pernas_VAS;0.667877532530171;111;14;77
930;Livrar_perna;IDADE;0.213632023444962;96;14;92
924;Livrar_perna;Licenca_Tempo;NA;6;0;0
922;Livrar_perna;QtCirColuna;0.419397451600416;66;5;75
925;Livrar_perna;Tempo_dor_costas;0.0280365122053385;92;14;36
926;Livrar_perna;Tempo_dor_pernas;0.365861037392877;92;14;35
923;Livrar_perna;Trabalho_Cansativo;0.153148180478984;92;13;34
513;Masc;Andar_velocidade;0.00145488475866068;46;89;0
517;Masc;BPI_3_v1;0.07075538998031;78;158;0
518;Masc;BPI_4_v1;0.0340941501468695;78;158;0
519;Masc;BPI_5_v1;0.0492674923335235;78;158;0
520;Masc;BPI_6_v1;0.214187192092253;46;85;0
521;Masc;BPI_8_v1;-0.0175521017114562;52;108;0
522;Masc;BPI_9a_v1;0.164941071549992;54;101;0
523;Masc;BPI_9b_v1;0.243910405611429;54;101;0
524;Masc;BPI_9c_v1;0.274145981596485;54;101;0
525;Masc;BPI_9d_v1;0.223525168477491;54;101;0
526;Masc;BPI_9e_v1;0.338243495829905;54;101;0
