"","demonimador","numerador","Frequência","Qtd_0_Denom","Qtd_1_Denom","D0N0","D0N1","D1N0","D1N1"
"319","Separado_Divorciado","Desempregado","0.142857142857143","179","7","154","25","6","1"
"320","X4","Desempregado","0","183","3","157","26","3","0"
"321","X5","Desempregado","0.25","182","4","157","25","3","1"
"322","X6","Desempregado","0.0909090909090909","175","11","150","25","10","1"
"323","Livrar_costas","Desempregado","0.211538461538462","14","104","10","4","82","22"
"324","Livrar_perna","Desempregado","0.307692307692308","105","13","83","22","9","4"
"325","Livrar_perda_sens","Desempregado","0","117","1","91","26","1","0"
"326","D1","Desempregado","0","129","1","104","25","1","0"
"327","D15","Desempregado","0.333333333333333","124","6","101","23","4","2"
"328","D16","Desempregado","0.1","110","20","87","23","18","2"
"329","D17","Desempregado","0.2","125","5","101","24","4","1"
"330","D18","Desempregado","0.25","114","16","93","21","12","4"
"331","D19","Desempregado","0.285714285714286","123","7","100","23","5","2"
"332","D2","Desempregado","0.375","122","8","100","22","5","3"
"333","D20","Desempregado","0.25","122","8","99","23","6","2"
"334","D21","Desempregado","0.142857142857143","123","7","99","24","6","1"
"335","D22","Desempregado","0.5","128","2","104","24","1","1"
"336","D23","Desempregado","0.5","128","2","104","24","1","1"
"337","D24","Desempregado","0.269230769230769","104","26","86","18","19","7"
"338","D25","Desempregado","0.5","126","4","103","23","2","2"
"339","D26","Desempregado","0.5","128","2","104","24","1","1"
"340","D27","Desempregado","0.2","125","5","101","24","4","1"
"341","D28","Desempregado","0.333333333333333","124","6","101","23","4","2"
"342","D29","Desempregado","0.166666666666667","88","42","70","18","35","7"
"343","D3","Desempregado","0.5","128","2","104","24","1","1"
"344","D30","Desempregado","0.209677419354839","68","62","56","12","49","13"
"345","D31","Desempregado","0.25","114","16","93","21","12","4"
"346","D32","Desempregado","0.0810810810810811","93","37","71","22","34","3"
"347","D33","Desempregado","0.0909090909090909","119","11","95","24","10","1"
"348","D34","Desempregado","0.666666666666667","127","3","104","23","1","2"
"349","D35","Desempregado","1","128","2","105","23","0","2"
"350","D36","Desempregado","0.285714285714286","123","7","100","23","5","2"
"351","D37","Desempregado","0.136363636363636","108","22","86","22","19","3"
"352","D38","Desempregado","0","128","2","103","25","2","0"
"353","D39","Desempregado","0.0666666666666667","115","15","91","24","14","1"
"354","D4","Desempregado","0.75","126","4","104","22","1","3"
"355","D40","Desempregado","0.25","126","4","102","24","3","1"
"356","D41","Desempregado","0.142857142857143","123","7","99","24","6","1"
"357","D42","Desempregado","0.333333333333333","127","3","103","24","2","1"
"358","D43","Desempregado","0.333333333333333","127","3","103","24","2","1"
"359","D44","Desempregado","0.0789473684210526","92","38","70","22","35","3"
"360","D45","Desempregado","0.0909090909090909","119","11","95","24","10","1"
"361","D46","Desempregado","0.105263157894737","92","38","71","21","34","4"
"362","D47","Desempregado","0.181818181818182","119","11","96","23","9","2"
"363","D48","Desempregado","0.115384615384615","104","26","82","22","23","3"
"364","D49","Desempregado","0.0833333333333333","118","12","94","24","11","1"
"365","D5","Desempregado","0.666666666666667","127","3","104","23","1","2"
"366","D50","Desempregado","0.5","128","2","104","24","1","1"
"367","D51","Desempregado","1","129","1","105","24","0","1"
"368","D52","Desempregado","0","128","2","103","25","2","0"
"369","D53","Desempregado","0","128","2","103","25","2","0"
"370","D9","Desempregado","1","129","1","105","24","0","1"
"371","RMDQ1_v1","Desempregado","0.194029850746269","111","67","98","13","54","13"
"372","RMDQ2_v1","Desempregado","0.208333333333333","106","72","95","11","57","15"
"373","RMDQ3_v1","Desempregado","0.115942028985507","111","69","93","18","61","8"
"374","RMDQ4_v1","Desempregado","0.12","130","50","110","20","44","6"
"375","RMDQ5_v1","Desempregado","0.112903225806452","118","62","99","19","55","7"
"376","RMDQ6_v1","Desempregado","0.122448979591837","131","49","111","20","43","6"
"377","RMDQ7_v1","Desempregado","0.151515151515152","146","33","125","21","28","5"
"378","RMDQ8_v1","Desempregado","0","171","8","145","26","8","0"
"379","RMDQ9_v1","Desempregado","0.142857142857143","151","28","129","22","24","4"
"380","RMDQ10_v1","Desempregado","0.205882352941176","145","34","126","19","27","7"
"381","RMDQ11_v1","Desempregado","0.171428571428571","144","35","124","20","29","6"
"382","RMDQ12_v1","Desempregado","0.184210526315789","141","38","122","19","31","7"
"383","RMDQ13_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
"384","RMDQ14_v1","Desempregado","0.219512195121951","138","41","121","17","32","9"
"385","RMDQ15_v1","Desempregado","0.166666666666667","155","24","133","22","20","4"
"386","RMDQ16_v1","Desempregado","0.166666666666667","149","30","128","21","25","5"
"387","RMDQ17_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
"388","RMDQ18_v1","Desempregado","0.233333333333333","149","30","130","19","23","7"
"389","RMDQ19_v1","Desempregado","0.115384615384615","153","26","130","23","23","3"
"390","RMDQ20_v1","Desempregado","0.161290322580645","148","31","127","21","26","5"
"391","RMDQ21_v1","Desempregado","0.179487179487179","140","39","121","19","32","7"
