"Binaria","Ordinal","rpb","pvalue","Bin_0","Bin_1","Missing"
"RMDQ1_v1","SF12_M1_10_v1",-0.719382067446206,1.20331135197e-20,134,85,12
"RMDQ1_v1","SF12_M1_11_v1",-0.841542117409103,3.80166040627719e-30,134,85,12
"RMDQ1_v1","SF12_M1_12_v1",-0.878697572828705,8.43659797260519e-34,134,85,12
"RMDQ2_v1","Oswestry1_v1",0.662959124895689,1.90805950733137e-17,129,90,12
"RMDQ2_v1","Oswestry2_v1",0.703353584373676,7.14927375766877e-20,129,90,12
"RMDQ2_v1","Oswestry3_v1",0.534737098123273,2.98294496185775e-11,129,90,12
"RMDQ2_v1","Oswestry4_v1",0.620446191695677,3.70156770564756e-15,129,90,12
"RMDQ2_v1","Oswestry5_v1",0.512541473280093,2.24497388246781e-10,129,90,12
"RMDQ2_v1","Oswestry6_v1",0.590404904610551,1.09155594292794e-13,129,90,12
"RMDQ2_v1","Oswestry7_v1",0.634931288073495,6.56790256036724e-16,129,90,12
"RMDQ2_v1","Oswestry8_v1",0.752247759933899,3.44910591689194e-23,129,90,12
"RMDQ2_v1","Oswestry9_v1",0.68472916002818,1.01298841149258e-18,129,90,12
"RMDQ2_v1","Oswestry10_v1",0.796706912573812,1.25415753574674e-26,129,90,12
"RMDQ2_v1","Somatoria_Owestry",0.694149718276661,2.6943539079914e-19,129,90,12
"RMDQ2_v1","SF12_M1_1_v1",0.524660670269856,7.56756832490487e-11,129,90,12
"RMDQ2_v1","SF12_M1_2_v1",-0.636152483742951,5.65981378932584e-16,129,90,12
"RMDQ2_v1","SF12_M1_3_v1",-0.677337028316638,2.79804549985127e-18,129,90,12
"RMDQ2_v1","SF12_M1_4_v1",-0.523184790093161,8.65524416385177e-11,129,90,12
"RMDQ2_v1","SF12_M1_5_v1",-0.606928290726096,1.75381200452608e-14,129,90,12
"RMDQ2_v1","SF12_M1_8_v1",0.815349721769472,3.29104948897878e-28,129,90,12
"RMDQ2_v1","SF12_M1_9_v1",-0.780564158026359,2.50349294195502e-25,129,90,12
"RMDQ2_v1","SF12_M1_10_v1",-0.750103358052528,4.92945659682922e-23,129,90,12
"RMDQ2_v1","SF12_M1_11_v1",-0.872613462825373,1.12064211572341e-33,129,90,12
"RMDQ2_v1","SF12_M1_12_v1",-0.90335222356823,4.5933049596431e-37,129,90,12
"RMDQ3_v1","Intensidade da dor no momento",0.530585341513511,6.18005333286511e-06,81,36,14
"RMDQ3_v1","Oswestry1_v1",0.67909453653837,2.84914963178918e-17,141,79,12
"RMDQ3_v1","Oswestry2_v1",0.734647154618432,1.50749341189572e-20,141,79,12
"RMDQ3_v1","Oswestry3_v1",0.569610117359425,4.92897356818974e-12,141,79,12
"RMDQ3_v1","Oswestry4_v1",0.706340066736418,8.07302022131859e-19,141,79,12
"RMDQ3_v1","Oswestry5_v1",0.521513824013062,3.72502742427141e-10,141,79,12
"RMDQ3_v1","Oswestry7_v1",0.57428033378377,3.14618992996803e-12,141,79,12
"RMDQ3_v1","Oswestry8_v1",0.597046842910986,3.26226693695628e-13,141,79,12
"RMDQ3_v1","Oswestry9_v1",0.623703627606456,1.93413721663018e-14,141,79,12
"RMDQ3_v1","Oswestry10_v1",0.613273026820831,5.97742359711954e-14,141,79,12
"RMDQ3_v1","Somatoria_Owestry",0.657478200500001,4.05197320792744e-16,141,79,12
"RMDQ3_v1","Ord_RMDQ",0.706910858725004,1.77812981083496e-12,56,79,0
"RMDQ3_v1","SF12_M1_1_v1",0.583072887221042,1.33161684352031e-12,141,79,12
"RMDQ3_v1","SF12_M1_2_v1",-0.58303586887602,1.33649987858984e-12,141,79,12
"RMDQ3_v1","SF12_M1_3_v1",-0.669250817554741,9.72022040585641e-17,141,79,12
"RMDQ3_v1","SF12_M1_4_v1",-0.54595509166334,4.4204786435283e-11,141,79,12
"RMDQ3_v1","SF12_M1_5_v1",-0.635870126357684,4.99204561975486e-15,141,79,12
"RMDQ3_v1","SF12_M1_6_v1",-0.675658866693431,4.38795921675291e-17,141,79,12
"RMDQ3_v1","SF12_M1_7_v1",-0.705232995153223,9.37729238631569e-19,141,79,12
"RMDQ3_v1","SF12_M1_8_v1",0.532745979319068,1.42214865618739e-10,141,79,12
"RMDQ3_v1","SF12_M1_11_v1",-0.512422421636857,7.95882168919374e-10,141,79,12
"RMDQ5_v1","Oswestry1_v1",0.733088656260533,7.23040502344133e-20,148,72,12
"RMDQ5_v1","Oswestry2_v1",0.779200801503991,7.5664125059858e-23,148,72,12
"RMDQ5_v1","Oswestry3_v1",0.617756985049115,8.56788247517345e-14,148,72,12
"RMDQ5_v1","Oswestry4_v1",0.755153075598055,3.00850351564166e-21,148,72,12
"RMDQ5_v1","Oswestry5_v1",0.570859326795178,8.72699144569797e-12,148,72,12
"RMDQ5_v1","Oswestry6_v1",0.522587095924444,5.9512378632824e-10,148,72,12
"RMDQ5_v1","Oswestry7_v1",0.614802599266644,1.16532419153311e-13,148,72,12
"RMDQ5_v1","Oswestry8_v1",0.634331129343429,1.46194950018042e-14,148,72,12
"RMDQ5_v1","Oswestry9_v1",0.662870061846875,5.82746048665066e-16,148,72,12
"RMDQ5_v1","Oswestry10_v1",0.660938855476859,7.30093144584731e-16,148,72,12
"RMDQ5_v1","Somatoria_Owestry",0.704747712564001,3.31561060474005e-18,148,72,12
"RMDQ5_v1","Ord_RMDQ",0.796436629354318,1.39472943711894e-16,63,72,0
"RMDQ5_v1","SF12_M1_1_v1",0.663642391466049,5.32346027589801e-16,148,72,12
"RMDQ5_v1","SF12_M1_2_v1",-0.621497026946503,5.78571050976925e-14,148,72,12
"RMDQ5_v1","SF12_M1_3_v1",-0.705858597273056,2.86877030193266e-18,148,72,12
"RMDQ5_v1","SF12_M1_4_v1",-0.607669047371285,2.42619848147723e-13,148,72,12
"RMDQ5_v1","SF12_M1_5_v1",-0.685035797809716,4.0455986675014e-17,148,72,12
"RMDQ5_v1","SF12_M1_6_v1",-0.758438837180217,1.84412875083187e-21,148,72,12
"RMDQ5_v1","SF12_M1_7_v1",-0.787641759852112,1.9614452597484e-23,148,72,12
"RMDQ5_v1","SF12_M1_8_v1",0.530833923222407,2.99921798554117e-10,148,72,12
"RMDQ5_v1","SF12_M1_11_v1",-0.522828092262116,5.8344390154702e-10,148,72,12
"RMDQ5_v1","SF12_M1_12_v1",-0.500322769367006,3.52665448070485e-09,148,72,12
"RMDQ6_v1","BPI - Sono",0.534000606514038,2.87067443283599e-07,104,45,6
"RMDQ6_v1","Oswestry1_v1",0.891104093874286,1.75978576792929e-28,164,56,12
"RMDQ6_v1","Oswestry2_v1",0.92602403949452,1.89318629234147e-31,164,56,12
"RMDQ6_v1","Oswestry3_v1",0.808545347596081,1.68431336167067e-22,164,56,12
"RMDQ6_v1","Oswestry4_v1",0.911847193789207,3.29772987887722e-30,164,56,12
"RMDQ6_v1","Oswestry5_v1",0.790337448806904,2.40023155507843e-21,164,56,12
"RMDQ6_v1","Oswestry6_v1",0.632606760469011,2.97550913375613e-13,164,56,12
"RMDQ6_v1","Oswestry7_v1",0.818927894439838,3.49944875306468e-23,164,56,12
"RMDQ6_v1","Oswestry8_v1",0.66908610493043,7.35725973323647e-15,164,56,12
"RMDQ6_v1","Oswestry9_v1",0.85326160451992,1.41616126291711e-25,164,56,12
"RMDQ6_v1","Oswestry10_v1",0.70914650016623,8.55184518132985e-17,164,56,12
"RMDQ6_v1","Somatoria_Owestry",0.859828225760438,4.65712232499778e-26,164,56,12
"RMDQ6_v1","Ord_RMDQ",0.919638581764577,1.60226877874484e-23,79,56,0
"RMDQ6_v1","SF12_M1_1_v1",0.700481155671788,2.32557576547706e-16,164,56,12
"RMDQ6_v1","SF12_M1_2_v1",-0.712882669479945,5.5195090477104e-17,164,56,12
"RMDQ6_v1","SF12_M1_3_v1",-0.773855794314668,2.39783308944863e-20,164,56,12
"RMDQ6_v1","SF12_M1_4_v1",-0.667825604425266,8.40649270925819e-15,164,56,12
"RMDQ6_v1","SF12_M1_5_v1",-0.760776468468771,1.39383824051299e-19,164,56,12
"RMDQ6_v1","SF12_M1_6_v1",-0.819191187394647,3.36089634932479e-23,164,56,12
"RMDQ6_v1","SF12_M1_7_v1",-0.860397125646607,4.2254262880437e-26,164,56,12
"RMDQ6_v1","SF12_M1_8_v1",0.704809702951803,1.41462366671167e-16,164,56,12
"RMDQ6_v1","SF12_M1_9_v1",-0.635162246446037,2.32014299854889e-13,164,56,12
"RMDQ6_v1","SF12_M1_10_v1",-0.519702277894751,4.36530412841095e-09,164,56,12
"RMDQ6_v1","SF12_M1_11_v1",-0.708578200863735,9.13763627495404e-17,164,56,12
"RMDQ6_v1","SF12_M1_12_v1",-0.673682491804734,4.50919272276902e-15,164,56,12
"RMDQ7_v1","SF12_M1_1_v1",0.688477913126108,2.10192666056246e-13,181,39,12
"RMDQ7_v1","SF12_M1_2_v1",-0.868153163972597,4.31305870872882e-22,181,39,12
"RMDQ7_v1","SF12_M1_3_v1",-0.925447149976413,1.03257430110387e-25,181,39,12
"RMDQ7_v1","SF12_M1_4_v1",-0.766539368617039,9.43476307022186e-17,181,39,12
"RMDQ7_v1","SF12_M1_5_v1",-0.831904703214706,4.83004358096619e-20,181,39,12
"RMDQ7_v1","SF12_M1_6_v1",-0.91128272382386,9.04501241486837e-25,181,39,12
"RMDQ7_v1","SF12_M1_7_v1",-0.97282688894553,4.04230436761713e-29,181,39,12
"RMDQ7_v1","SF12_M1_8_v1",0.854760613341603,2.58302025930138e-21,181,39,12
