"","denominador","numerador","Frequência","P-value","Qtd_1_Denom","Qtd_0_Demon","D0N0","D0N1","D1N0","D1N1"
"412","RMDQ1_v1","RMDQ10_v1",0.352941176470588,1.17754037412817e-06,85,134,124,10,55,30
"413","RMDQ2_v1","RMDQ10_v1",0.366666666666667,2.50673127666809e-08,90,129,122,7,57,33
"414","RMDQ3_v1","RMDQ10_v1",0.417721518987342,1.11696010371198e-11,79,141,134,7,46,33
"415","RMDQ4_v1","RMDQ10_v1",0.259259259259259,0.0894013050729901,54,166,140,26,40,14
"416","RMDQ5_v1","RMDQ10_v1",0.472222222222222,6.73108324199017e-15,72,148,142,6,38,34
"417","RMDQ6_v1","RMDQ10_v1",0.625,2.30046124551526e-23,56,164,159,5,21,35
"418","RMDQ7_v1","RMDQ10_v1",0.846153846153846,1.93251410019288e-32,39,181,174,7,6,33
"419","RMDQ8_v1","RMDQ10_v1",0.875,2.23848400948438e-07,8,212,179,33,1,7
"420","RMDQ9_v1","RMDQ10_v1",0.970588235294118,1.83787767560477e-38,34,186,179,7,1,33
"421","RMDQ10_v1","RMDQ10_v1",1,9.04447975804488e-50,40,180,180,0,0,40
"422","RMDQ11_v1","RMDQ10_v1",0.880952380952381,5.57324773652127e-39,42,178,175,3,5,37
"423","RMDQ12_v1","RMDQ10_v1",0.795454545454545,3.94510314773932e-32,44,176,171,5,9,35
"424","RMDQ13_v1","RMDQ10_v1",0.717391304347826,3.32034513985841e-26,46,174,167,7,13,33
"425","RMDQ14_v1","RMDQ10_v1",0.73469387755102,5.17687226522671e-30,49,171,167,4,13,36
"426","RMDQ15_v1","RMDQ10_v1",0.870967741935484,7.10532254706397e-27,31,189,176,13,4,27
"427","RMDQ16_v1","RMDQ10_v1",0.864864864864865,3.41710399034611e-32,37,183,175,8,5,32
"428","RMDQ17_v1","RMDQ10_v1",0.673469387755102,4.45683909243186e-24,49,171,164,7,16,33
"429","RMDQ18_v1","RMDQ10_v1",0.972222222222222,3.29618584049123e-41,36,184,179,5,1,35
"430","RMDQ19_v1","RMDQ10_v1",0.96875,8.97406152632487e-36,32,188,179,9,1,31
"431","RMDQ20_v1","RMDQ10_v1",0.921052631578947,1.39594776624632e-38,38,182,177,5,3,35
"432","RMDQ21_v1","RMDQ10_v1",0.770833333333333,5.3519458890139e-33,48,172,169,3,11,37
"433","RMDQ22_v1","RMDQ10_v1",0.894736842105263,5.28115491603497e-36,38,182,176,6,4,34
"434","RMDQ23_v1","RMDQ10_v1",1,1.92334772571708e-45,37,183,180,3,0,37
"435","RMDQ24_v1","RMDQ10_v1",1,1.23678548857098e-42,35,185,180,5,0,35
"436","Dor nas costas","RMDQ11_v1",0.235772357723577,0.0129869015417078,123,67,61,6,94,29
"437","Dor nas pernas","RMDQ11_v1",0.246153846153846,0.124536027938523,65,123,104,19,49,16
"438","Livrar_costas","RMDQ11_v1",0.233644859813084,0.327453638750848,107,16,14,2,82,25
"439","Livrar_perna","RMDQ11_v1",0.142857142857143,0.461675099076693,14,109,84,25,12,2
"440","Lombalgia","RMDQ11_v1",0.245901639344262,0.161203767460244,61,56,48,8,46,15
"441","RMDQ1_v1","RMDQ11_v1",0.352941176470588,7.5201692089832e-06,85,134,122,12,55,30
"442","RMDQ2_v1","RMDQ11_v1",0.366666666666667,2.39311742179001e-07,90,129,120,9,57,33
"443","RMDQ3_v1","RMDQ11_v1",0.468354430379747,4.59390768870471e-15,79,141,136,5,42,37
"444","RMDQ4_v1","RMDQ11_v1",0.333333333333333,0.00217179157532563,54,166,142,24,36,18
